x,y,age,gender
10.54701,12.32713,4,1
11.73556,13.59899,0,1
8.280715,11.56829,3,1
12.38503,13.21802,0,1
15.72296,7.17813,3,1
16.06733,9.970328,3,1
14.35376,10.35223,0,1
14.57164,11.38928,3,1
16.23636,14.1988,3,1
12.80755,14.28284,4,1
13.3605,11.94751,5,1
11.64155,12.17337,2,1
9.466473,10.73907,5,1
13.08718,12.37853,0,1
11.939,14.17458,1,1
13.48189,8.887023,5,1
14.06296,13.09025,0,1
10.38407,11.159,0,1
15.60473,11.31529,0,1
13.02248,9.609664,3,1
11.07647,11.64163,2,1
14.5969,11.4039,1,1
15.24637,8.629816,1,1
13.36475,10.36409,4,1
14.299,10.43223,5,1
13.36865,12.51622,5,1
10.77831,11.64841,5,1
11.42396,10.96806,0,1
13.33782,14.33142,4,1
14.36735,10.32597,4,1
8.863929,12.10775,4,1
10.02774,11.28289,0,1
13.20859,14.26238,4,1
10.43369,11.19426,5,1
12.6148,10.95197,1,1
13.08049,14.20134,4,1
13.37551,13.06693,5,1
10.68826,12.45906,3,1
13.96921,13.32231,3,1
12.54972,11.07519,5,1
14.65652,11.439,5,1
9.501461,11.54471,1,1
13.48013,12.53947,3,1
12.92878,10.93291,0,1
12.84456,16.01885,5,1
15.31608,9.794086,5,1
10.96288,9.745629,4,1
13.51754,11.0086,2,1
9.582069,10.58299,0,1
12.51176,11.1419,0,1
13.3154,12.87661,5,1
9.378991,10.9628,5,1
13.37906,11.91917,0,1
14.26445,15.6235,4,1
15.41332,13.8084,5,1
13.78938,12.6617,4,1
12.74481,11.31843,0,1
14.08854,13.10222,4,1
15.06661,10.14866,2,1
15.27804,13.55018,0,1
14.67613,10.15019,4,1
13.37922,12.48901,5,1
12.27691,11.91081,0,1
